"Min,Max,Modal PriceVaranasi from 01-Jan-2023To29-Aug-2025 (Total-738) (Total-738)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
69,Varanasi,Varanasi,Wheat,Dara,FAQ,2400,2490,2430,28-Jun-24
70,Varanasi,Varanasi,Wheat,Dara,FAQ,2845,2915,2880,11-Jan-25
71,Varanasi,Varanasi,Wheat,Dara,FAQ,2340,2465,2380,08-Nov-23
72,Varanasi,Varanasi,Wheat,Dara,FAQ,2765,2880,2820,13-Feb-23
73,Varanasi,Varanasi,Wheat,Dara,FAQ,2740,2835,2780,20-Feb-23
74,Varanasi,Varanasi,Wheat,Dara,FAQ,2275,2415,2350,06-May-24
75,Varanasi,Varanasi,Wheat,Dara,FAQ,2340,2425,2375,13-Oct-23
76,Varanasi,Varanasi,Wheat,Dara,FAQ,2250,2345,2290,18-Jul-23
77,Varanasi,Varanasi,Wheat,Dara,FAQ,2525,2600,2565,13-Feb-24
78,Varanasi,Varanasi,Wheat,Dara,FAQ,2340,2425,2370,25-Sep-23
79,Varanasi,Varanasi,Wheat,Dara,FAQ,2250,2335,2290,21-Jul-23
80,Varanasi,Varanasi,Wheat,Dara,FAQ,2370,2500,2410,26-Nov-23
81,Varanasi,Varanasi,Wheat,Dara,FAQ,3230,3300,3265,04-Nov-24
82,Varanasi,Varanasi,Wheat,Dara,FAQ,2400,2500,2465,22-Jul-24
83,Varanasi,Varanasi,Wheat,Dara,FAQ,2125,2250,2170,05-May-23
84,Varanasi,Varanasi,Wheat,Dara,FAQ,2425,2515,2485,06-May-25
85,Varanasi,Varanasi,Wheat,Dara,FAQ,2920,3000,2950,31-Jan-25
86,Varanasi,Varanasi,Wheat,Dara,FAQ,2275,2365,2330,03-May-24
87,Varanasi,Varanasi,Wheat,Dara,FAQ,2300,2350,2325,04-Sep-23
88,Varanasi,Varanasi,Wheat,Dara,FAQ,2850,2925,2885,08-Jan-25
89,Varanasi,Varanasi,Wheat,Dara,FAQ,2535,2615,2570,13-Aug-25
90,Varanasi,Varanasi,Wheat,Dara,FAQ,2300,2400,2340,21-Aug-23
91,Varanasi,Varanasi,Wheat,Dara,FAQ,2680,2775,2725,28-Oct-24
92,Varanasi,Varanasi,Wheat,Dara,FAQ,2425,2570,2500,05-Apr-25
93,Varanasi,Varanasi,Wheat,Dara,FAQ,2500,2590,2545,01-Aug-25
94,Varanasi,Varanasi,Wheat,Dara,FAQ,2350,2490,2450,25-Jun-24
95,Varanasi,Varanasi,Wheat,Dara,FAQ,2420,2500,2460,12-Mar-24
96,Varanasi,Varanasi,Wheat,Dara,FAQ,2470,2550,2520,17-Jan-24
97,Varanasi,Varanasi,Wheat,Dara,FAQ,2115,2165,2130,07-Apr-23
98,Varanasi,Varanasi,Wheat,Dara,FAQ,2285,2360,2320,07-Sep-23
99,Varanasi,Varanasi,Wheat,Dara,FAQ,2300,2370,2335,22-Aug-23
100,Varanasi,Varanasi,Wheat,Dara,FAQ,2765,2845,2800,14-Feb-23
101,Varanasi,Varanasi,Wheat,Dara,FAQ,2665,2735,2685,21-Oct-24
102,Varanasi,Varanasi,Wheat,Dara,FAQ,2125,2175,2140,20-Apr-23
103,Varanasi,Varanasi,Wheat,Dara,FAQ,2300,2365,2330,29-Aug-23
104,Varanasi,Varanasi,Wheat,Dara,FAQ,2485,2590,2535,02-Jul-25
105,Varanasi,Varanasi,Wheat,Dara,FAQ,2275,2375,2320,11-Aug-23
106,Varanasi,Varanasi,Wheat,Dara,FAQ,2875,2970,2950,30-Jan-25
107,Varanasi,Varanasi,Wheat,Dara,FAQ,2280,2415,2385,18-Jun-24
108,Varanasi,Varanasi,Wheat,Dara,FAQ,2280,2375,2330,23-Jun-23
109,Varanasi,Varanasi,Wheat,Dara,FAQ,2425,2550,2500,07-Apr-25
110,Varanasi,Varanasi,Wheat,Dara,FAQ,2670,2745,2695,01-Mar-24
111,Varanasi,Varanasi,Wheat,Dara,FAQ,2278,2415,2385,21-Jun-24
112,Varanasi,Varanasi,Wheat,Dara,FAQ,2470,2550,2520,19-Jan-24
113,Varanasi,Varanasi,Wheat,Dara,FAQ,2140,2235,2180,01-Apr-23
114,Varanasi,Varanasi,Wheat,Dara,FAQ,2500,2590,2550,29-Jul-25
115,Varanasi,Varanasi,Wheat,Dara,FAQ,2350,2415,2375,26-Sep-23
116,Varanasi,Varanasi,Wheat,Dara,FAQ,2500,2570,2530,30-Jan-24
117,Varanasi,Varanasi,Wheat,Dara,FAQ,2735,2820,2760,05-Nov-24
118,Varanasi,Varanasi,Wheat,Dara,FAQ,2250,2336,2300,17-Mar-23
119,Varanasi,Varanasi,Wheat,Dara,FAQ,2500,2575,2525,31-Jan-24
120,Varanasi,Varanasi,Wheat,Dara,FAQ,2400,2475,2435,02-Dec-23
121,Varanasi,Varanasi,Wheat,Dara,FAQ,2350,2465,2400,13-Mar-23
122,Varanasi,Varanasi,Wheat,Dara,FAQ,2875,2960,2935,21-Jan-25
123,Varanasi,Varanasi,Wheat,Dara,FAQ,2275,2360,2320,11-Jul-23
124,Varanasi,Varanasi,Wheat,Dara,FAQ,2385,2475,2425,13-Mar-24
125,Varanasi,Varanasi,Wheat,Dara,FAQ,2470,2560,2535,15-Jan-24
126,Varanasi,Varanasi,Wheat,Dara,FAQ,2440,2525,2470,09-Aug-24
127,Varanasi,Varanasi,Wheat,Dara,FAQ,2865,2935,2890,04-Jan-25
128,Varanasi,Varanasi,Wheat,Dara,FAQ,2475,2590,2560,19-Jun-25
129,Varanasi,Varanasi,Wheat,Dara,FAQ,2380,2515,2465,27-Jun-24
130,Varanasi,Varanasi,Wheat,Dara,FAQ,2475,2600,2565,20-Jun-25
131,Varanasi,Varanasi,Wheat,Dara,FAQ,2275,2365,2325,03-Jul-23
132,Varanasi,Varanasi,Wheat,Dara,FAQ,2250,2425,2350,15-Mar-23
133,Varanasi,Varanasi,Wheat,Dara,FAQ,2550,2675,2635,02-Mar-23
134,Varanasi,Varanasi,Wheat,Dara,FAQ,2350,2445,2385,01-Nov-23
135,Varanasi,Varanasi,Wheat,Dara,FAQ,2350,2435,2390,18-Nov-23
136,Varanasi,Varanasi,Wheat,Dara,FAQ,2480,2590,2525,05-Jul-25
137,Varanasi,Varanasi,Wheat,Dara,FAQ,2125,2200,2165,11-May-23
138,Varanasi,Varanasi,Wheat,Dara,FAQ,2920,3000,2950,07-Feb-25
139,Varanasi,Varanasi,Wheat,Dara,FAQ,2465,2535,2490,22-Aug-24
140,Varanasi,Varanasi,Wheat,Dara,FAQ,2515,2575,2535,07-Sep-24
141,Varanasi,Varanasi,Wheat,Dara,FAQ,2750,2845,2810,17-Dec-24
142,Varanasi,Varanasi,Wheat,Dara,FAQ,2275,2400,2335,20-Apr-24
143,Varanasi,Varanasi,Wheat,Dara,FAQ,2275,2425,2385,07-Jun-24
