ds,y
2024-02-15,2575
2024-02-16,2575
2024-02-17,2580
2024-02-19,2580
2024-02-20,2680
2024-02-21,2585
2024-02-22,2590
2024-02-23,2550
2024-02-24,2555
2024-02-27,2560
2024-02-28,2560
2024-02-29,2520
2024-03-01,2695
2024-03-02,2620
2024-03-05,2520
2024-03-06,2525
2024-03-08,2510
2024-03-09,2500
2024-03-11,2490
2024-03-12,2460
2024-03-13,2425
2024-03-14,2425
2024-03-15,2415
2024-03-16,2420
2024-03-18,2420
2024-03-19,2425
2024-03-20,2425
2024-03-21,2420
2024-03-22,2425
2024-03-23,2440
2024-03-27,2440
2024-03-29,2465
2024-03-30,2465
2024-04-01,2450
2024-04-02,2450
2024-04-03,2435
2024-04-04,2435
2024-04-05,2400
2024-04-06,2380
2024-04-08,2350
2024-04-09,2370
2024-04-10,2350
2024-04-11,2350
2024-04-12,2365
2024-04-13,2360
2024-04-15,2350
2024-04-16,2345
2024-04-18,2350
2024-04-19,2350
2024-04-20,2335
2024-04-22,2330
2024-04-23,2330
2024-04-24,2320
2024-04-25,2340
2024-04-26,2335
2024-04-27,2345
2024-04-29,2340
2024-05-02,2340
2024-05-03,2330
2024-05-04,2350
2024-05-06,2350
2024-05-07,2360
2024-05-08,2350
2024-05-09,2350
2024-05-10,2355
2024-05-11,2340
2024-05-13,2330
2024-05-14,2335
2024-05-15,2335
2024-05-16,2340
2024-05-17,2335
2024-05-18,2335
2024-05-20,2340
2024-05-21,2340
2024-05-22,2325
2024-05-23,2320
2024-05-24,2330
2024-05-25,2340
2024-05-27,2340
2024-05-28,2340
2024-05-30,2340
2024-06-03,2375
2024-06-04,2375
2024-06-05,2380
2024-06-07,2385
2024-06-10,2390
2024-06-11,2380
2024-06-12,2390
2024-06-13,2390
2024-06-14,2380
2024-06-17,2380
2024-06-18,2385
2024-06-19,2380
2024-06-20,2375
2024-06-21,2385
2024-06-22,2380
2024-06-24,2370
2024-06-25,2450
2024-06-26,2465
2024-06-27,2465
2024-06-28,2430
2024-07-01,2430
2024-07-02,2420
2024-07-03,2410
2024-07-04,2420
2024-07-05,2425
2024-07-06,2435
2024-07-08,2440
2024-07-09,2440
2024-07-10,2435
2024-07-11,2440
2024-07-12,2430
2024-07-13,2440
2024-07-15,2440
2024-07-16,2435
2024-07-17,2435
2024-07-18,2435
2024-07-19,2440
2024-07-20,2450
2024-07-22,2465
2024-07-23,2475
2024-07-24,2475
2024-07-25,2470
2024-07-26,2470
2024-07-27,2465
2024-07-29,2470
2024-07-30,2470
2024-07-31,2475
2024-08-01,2470
2024-08-05,2460
2024-08-06,2470
2024-08-07,2470
2024-08-08,2475
2024-08-09,2470
2024-08-10,2470
2024-08-12,2475
2024-08-13,2475
2024-08-14,2470
2024-08-16,2470
2024-08-17,2480
2024-08-19,2480
2024-08-20,2485
2024-08-21,2490
2024-08-22,2490
2024-08-23,2485
2024-08-24,2500
2024-08-26,2500
2024-08-27,2515
2024-08-28,2510
2024-08-29,2500
2024-08-30,2520
2024-08-31,2515
2024-09-03,2525
2024-09-04,2525
2024-09-07,2535
2024-09-08,2300
2024-09-09,2535
2024-09-10,2540
2024-09-11,2545
2024-09-12,2545
2024-09-13,2530
2024-09-16,2530
2024-09-17,2530
2024-09-18,2525
2024-09-19,2525
2024-09-20,2530
2024-09-21,2535
2024-09-23,2535
2024-09-24,2530
2024-09-25,2540
2024-09-26,2550
2024-09-27,2560
2024-09-28,2555
2024-09-30,2565
2024-10-03,2580
2024-10-04,2600
2024-10-05,2600
2024-10-07,2625
2024-10-08,2635
2024-10-09,2650
2024-10-11,2665
2024-10-12,2670
2024-10-14,2665
2024-10-15,2675
2024-10-16,2685
2024-10-17,2685
2024-10-18,2690
2024-10-19,2690
2024-10-21,2685
2024-10-22,2690
2024-10-24,2700
2024-10-25,2715
2024-10-26,2725
2024-10-28,2725
2024-10-29,3550
2024-10-30,2740
2024-11-02,2750
2024-11-04,3265
2024-11-05,2760
2024-11-07,2765
2024-11-08,2760
2024-11-09,2750
2024-11-13,2765
2024-11-14,2775
2024-11-18,2780
2024-11-19,2785
2024-11-20,2780
2024-11-21,2785
2024-11-22,2790
2024-11-23,2795
2024-11-25,2790
2024-11-26,2785
2024-11-27,2785
2024-11-29,2800
2024-11-30,3125
2024-12-02,2800
2024-12-03,3140
2024-12-04,2810
2024-12-05,2800
2024-12-06,2815
2024-12-09,2815
2024-12-10,2815
2024-12-12,2800
2024-12-13,2800
2024-12-16,2815
2024-12-17,2810
2024-12-18,2800
2024-12-20,2810
2024-12-21,2800
2024-12-22,2800
2024-12-23,2800
2024-12-24,2815
2024-12-25,2850
2024-12-26,2860
2024-12-27,2865
2024-12-28,2870
2024-12-30,2870
2024-12-31,2875
2025-01-01,2875
2025-01-02,2880
2025-01-03,2885
2025-01-04,2890
2025-01-06,2875
2025-01-07,2875
2025-01-08,2885
2025-01-09,2885
2025-01-10,2890
2025-01-11,2880
2025-01-13,2875
2025-01-14,2885
2025-01-15,2890
2025-01-16,2900
2025-01-17,2900
2025-01-18,2915
2025-01-20,2920
2025-01-21,2935
2025-01-22,2935
2025-01-25,2960
2025-01-27,2945
2025-01-28,2940
2025-01-30,2950
2025-01-31,2950
2025-02-01,2955
2025-02-01,2880
2025-02-03,2950
2025-02-04,2865
2025-02-04,2950
2025-02-06,2940
2025-02-07,2950
2025-02-10,2950
2025-02-10,2850
2025-02-11,2950
2025-02-12,2950
2025-02-13,2965
2025-02-14,2970
2025-02-15,2980
2025-02-17,2985
2025-02-18,2990
2025-02-18,2850
2025-02-20,2985
2025-02-21,2980
2025-02-22,2980
2025-02-24,2975
2025-02-25,2985
2025-02-26,2980
2025-02-27,2970
2025-02-28,2970
2025-03-01,2975
2025-03-03,2970
2025-03-04,2970
2025-03-05,2975
2025-03-06,2950
2025-03-07,2965
2025-03-08,2960
2025-03-10,2950
2025-03-11,2965
2025-03-12,2960
2025-03-17,2900
2025-03-18,2910
2025-03-19,2885
2025-03-20,2875
2025-03-21,2850
2025-03-22,2850
2025-03-24,2800
2025-03-25,2775
2025-03-26,2750
2025-03-27,2700
2025-03-31,2650
2025-04-01,2635
2025-04-02,2585
2025-04-03,2530
2025-04-05,2500
2025-04-07,2500
2025-04-08,2510
2025-04-09,2500
2025-04-10,2500
2025-04-11,2510
2025-04-12,2500
2025-04-14,2515
2025-04-15,2500
2025-04-16,2490
2025-04-18,2480
2025-04-19,2480
2025-04-21,2485
2025-04-23,2500
2025-04-24,2515
2025-04-25,2500
2025-04-26,2500
2025-04-28,2500
2025-05-01,2495
2025-05-02,2490
2025-05-03,2500
2025-05-05,2500
2025-05-06,2485
2025-05-07,2485
2025-05-08,2480
2025-05-09,2480
2025-05-10,2500
2025-05-12,2490
2025-05-13,2485
2025-05-14,2490
2025-05-15,2500
2025-05-16,2500
2025-05-17,2495
2025-05-19,2500
2025-05-20,2500
2025-05-21,2490
2025-05-22,2495
2025-05-23,2490
2025-05-24,2485
2025-05-26,2520
2025-05-27,2525
2025-05-29,2525
2025-05-30,2530
2025-06-02,2530
2025-06-03,2535
2025-06-04,2535
2025-06-09,2565
2025-06-10,2565
2025-06-12,2580
2025-06-13,2585
2025-06-16,2575
2025-06-17,2560
2025-06-18,2565
2025-06-19,2560
2025-06-20,2565
2025-06-21,2560
2025-06-23,2555
2025-06-24,2560
2025-06-25,2560
2025-06-26,2565
2025-06-27,2560
2025-06-28,2555
2025-06-30,2530
2025-07-01,2525
2025-07-02,2535
2025-07-03,2530
2025-07-04,2520
2025-07-05,2525
2025-07-07,2530
2025-07-08,2535
2025-07-09,2540
2025-07-10,2540
2025-07-12,2540
2025-07-14,2545
2025-07-15,2540
2025-07-16,2530
2025-07-18,2530
2025-07-19,2535
2025-07-21,2540
2025-07-22,2535
2025-07-23,2535
2025-07-24,2540
2025-07-25,2535
2025-07-26,2545
2025-07-28,2560
2025-07-29,2550
2025-07-31,2540
2025-08-01,2545
2025-08-02,2540
2025-08-04,2540
2025-08-05,2550
2025-08-07,2560
2025-08-08,2565
2025-08-09,2550
2025-08-11,2560
2025-08-12,2565
2025-08-13,2570
2025-08-14,2575
2025-08-15,2570
2025-08-16,2565
2025-08-18,2565
2025-08-19,2570
2025-08-21,2570
2025-08-22,2580
2025-08-23,2580
2025-08-25,2570
2025-08-26,2570
2025-08-27,2575
